cooperativa,abreviacion,activos_productivos_sobre_total_activos,activos_productivos_sobre_pasivos_con_costo,morosidad_cartera_productiva,morosidad_total,cobertura_cartera_problematica,cartera_refinanciada,cartera_reestructurada,gastos_operativos_sobre_activos,roa,roe,cartera_sobre_depositos,margen_intermediacion_sobre_activo_promedio,gastos_operativos_sobre_activo_promedio,label
INDIGENA SAC LTDA,ISAC,0.908747789075755,1.0343566653070573,0.0,0.0609882161928433,0.9451147372518774,0.1527345739178133,0.1816845009993162,0.0541632816102195,0.0002850806486398,0.0028546048111748,0.9193052581972194,-0.0038369883216329,0.9451147372518774,BBB
JARDIN AZUAYO LIMITADA,JAZU,0.9633834869635168,1.126451763963913,0.0918135109757767,0.0653754144591203,1.7701964908949732,0.1600448206239196,0.3097741993795095,0.0426143764661192,0.0034275089890416,0.0287630391917447,0.9019131144776495,0.0035736662359218,1.7701964908949732,AA
JUVENTUD ECUATORIANA PROGRESISTA LIMITADA,JEP,0.8940957637005719,1.025534966377224,0.0088549018093462,0.0721891650759241,0.8580305730113028,0.1809908762201497,0.2262235090815314,0.0358560259489897,0.0061195370860263,0.061036186915827,0.7354610714075622,9.88247775215e-06,0.8580305730113028,AA
KULLKI WASI LTDA,KW,0.9011317111084132,1.0159669024778717,0.0,0.0983985171711665,0.7700312403730354,0.221702995910754,0.2150745028333731,0.0419690078747262,0.0007144789689882,0.007995065143836,0.7719636826246958,-0.0009460717698229,0.7700312403730354,BBB
LA MERCED LIMITADA,LMER,0.8765827309542457,0.9931127428718574,0.0557086843569927,0.0733585223614938,0.5562366238502169,0.2198381419190352,0.1871832609778527,0.0586974146258523,0.0002232659871577,0.002296788712591,0.8727953987591308,0.0016028987142101,0.5562366238502169,BBB
MUSHUC RUNA LTDA,MR,0.904041965394651,1.068934218769619,0.0158654635512033,0.074117920374183,1.0302013074004468,0.161865704803729,0.2048935078383174,0.0374139177991852,0.0001212324787276,0.0009297242809005,0.8533022432278861,-0.0066025075579618,1.0302013074004468,A
ONCE DE JUNIO LTDA,11JUN,0.8946045785079042,1.0610718318409729,0.0,0.1174979453402816,0.9148180977154784,0.1779921187866939,0.1898523083134738,0.0457028103607877,0.0003190936134162,0.0023295376902973,0.8949934415141783,-0.0043738608688955,0.9148180977154784,BBB
OSCUS LIMITADA,OSCUS,0.9093850980890156,1.0711313004846377,0.0613338664281014,0.0935106829676174,1.1100125829640322,0.0983613286406833,0.0997756968705565,0.0324369030562821,0.0009448305202869,0.0075285631046749,0.7892111209126289,-0.0021687852050324,1.1100125829640322,AA
PADRE JULIAN LORENTE LTDA,PJL,0.8682054401956022,1.0012825260747171,0.8333333333333334,0.0566101681290232,0.7963662985404728,0.1882940621492698,0.4967453587043946,0.0652141598795922,0.0006790601140894,0.0066591738870914,0.9285946744907604,-0.0063088902743221,0.7963662985404728,A
PILAHUIN TIO LIMITADA,PTIO,0.771911040858281,0.869680871046293,0.0,0.0381453618810363,1.242506443120431,0.0,0.0,0.0548135653210565,0.0009687869098889,0.0108579728915232,0.7797176756302604,-0.0174558824255971,1.242506443120431,BBB
POLICIA NACIONAL LIMITADA,PNAC,0.7761163769103716,0.8823910506643647,0.3392975382275386,0.1287202504394535,0.5755978246891867,0.1150506689876279,0.10927353047007,0.0348389231859854,7.570943994259e-05,0.0007726728743226,0.8311711945167258,-0.0027625980137891,0.5755978246891867,A
SAN FRANCISCO LTDA,SANFR,0.987345632699258,1.204598383833952,0.0416553656438816,0.0589467271700092,2.7512579116032936,0.1717543217141294,0.1528315515337465,0.0335368249038699,0.002855232568454,0.0206744997715797,0.7620325933179918,-0.0003321459449675,2.7512579116032936,AA
SAN JOSE LIMITADA,SJO,0.9414193621232092,1.1031715749953364,0.0,0.1013464326694757,1.163561391681091,0.1288233259418707,0.1243702354794186,0.0327461838114737,6.727443650811e-05,0.0005427117618531,0.810927173116053,-0.0060985075682384,1.163561391681091,AA
SANTA ROSA LIMITADA,SROSA,0.7571169961371186,0.9663371185593704,0.0049322861983572,0.069406702781343,0.4647691403943299,0.1421875391030282,0.0001071978091399,0.0416621932300206,7.458740474214e-05,0.0003727358264677,0.9283875149516227,-0.0088999935668914,0.4647691403943299,BBB
TULCAN LIMITADA,TULC,0.9456055119769036,1.1187958564134066,0.0,0.0668711675324866,1.3202426104171667,0.1519403392919259,0.1516497554169994,0.0337750061333043,0.001922511939055,0.016053014203488,0.8497753005134111,-0.0018635505996472,1.3202426104171667,AA
VICENTINA MANUEL ESTEBAN GODOY ORTEGA LIMITADA,VICENTINA,0.8866542266466154,1.1119881025308558,0.1585824472878852,0.087006108429868,1.4128770440575098,0.0,0.0,0.0391841851240677,0.0005100528821297,0.002954391751229,0.804174801491948,-0.0090046977521226,1.4128770440575098,A
VIRGEN DEL CISNE,VDC,0.925593057091464,1.1248858922113567,0.0,0.0695130024680889,1.0200549958250402,0.5794817469663263,0.1566832543100117,0.0490687967935294,0.0031118141443444,0.0225375499658406,0.8427870028465094,0.000479357641637,1.0200549958250402,AA
